A_ID (user getting reply) , B_ID (user that is replying)
807095,73452506
621533,2147604445
209584092,888042960549552129
1066744429854236672,2748061373
722242009,872158753008877569
8197942,2412223020
767788995962998784,3657013654
1246440482760085504,182663887
21722318,250691621
380268462,1317220261050056704
1006419421244678144,19030484
19533512,354431372
935810185859338240,20304668
21884579,819019776844513280
1369319255083257861,1505993402
1368633664423268358,1239895217693691905
27493883,3002029764
1539378523,3398432139
69080476,2272185878
1652541,1388928926869753857
1098294927774048256,149106359
94350709,29447428
29447428,728273994
612441328,1132791264242307073
76721925,1387010761994682371
810603440984494080,1304036484920606720
1428722963898159111,866958995784970241
259506084,3018860447
259506084,20944311
29447428,1387314750883831810
80784806,211880211
798953701972938752,102162577
54656439,861738869045297153
3277891994,1214297100214620160
1367361786039648257,3143750061
129063594,1471315918462459908
1031462358000889856,31565500
15745368,881248503514714112
45010849,2798807857
29447428,1433489836162396166
159438315,1662047773
29447428,1247295628780208132
1095523459877068800,194617157
1244310077349269504,390770221
942156122,26775504
3602064317,880008290
8197942,1552409378
2880610310,1277735065737326592
237141734,994415530651009024
949892499878719488,1217939176701616128
52211840,1401861298233647106
1220843046125940736,1169989273468190728
1108565574,164178673
233343317,1597060776
1238370241169616897,403796945
126628908,336656405
93568965,1132460072775249926
760219193195302912,21489341
1096205507348623360,893479800
1471315362088169480,1219745366960230400
18753424,1686874152
68128023,238856888
799911790398373888,1077703279218282497
799911790398373888,79688044
1420492295284080642,1189870353172123648
3453306553,1573800344
19241864,29447428
1094095877302611969,1387010761994682371
43425975,98429846
155483848,119363458
154435010,218491913
139109800,301352485
6315402,301352485
6315402,301352485
209851082,1434806401
139109800,301352485
977204844,50189290
153517357,1254077828481630208
88387950,216507928
1253930331901583360,216507928
1253930331901583360,46074537
70435999,1239004332206546949
3453306553,1573800344
1087380412089987077,825765275853344773
1266474230,1394086635994681345
343679171,1081307250
2836421,775036051773587458
1330585435,804582780298412032
217418435,1183485474880360448
88387950,1370681318007209988
3453306553,1573800344
225779417,4196505444
2876774827,14817102
1015196564690743296,871676753919578112
167281867,1451164772934696968
1720530361,110893874
197501338,24881664
12848262,24881664
259395895,67568430
1009892540114403328,966724209773858826
