Total Users in Bin, Number of Retweets
936,3
530,4
303,5
230,6
177,7
131,8
105,9
70,10
52,11
52,12
47,13
41,14
32,15
27,16
18,17
26,18
17,19
24,20
20,21
12,22
11,23
8,24
14,25
15,26
12,27
17,28
10,29
8,30
8,31
6,32
8,33
7,34
3,35
6,36
6,37
5,38
5,39
2,40
7,41
1,42
2,43
1,44
7,45
3,46
3,48
5,49
3,50
2,51
1,52
2,53
1,54
1,55
5,56
4,57
4,58
1,59
2,60
2,63
3,64
1,66
3,68
2,69
2,70
2,71
3,73
1,74
2,77
1,82
1,83
1,85
2,86
2,87
1,88
1,90
3,91
2,93
1,94
1,96
1,97
1,103
1,104
2,106
1,108
1,113
1,125
1,138
1,139
1,146
1,157
1,158
1,159
1,160
1,179
1,193
1,199
1,208
1,255
1,316
1,323
1,362
1,438
1,1076
