hashtag_H	 cluster_C_leader_user_id	 relative_frequency_H_C	 frequency_H_in_C	 frequency_H_overall	 count_H_in_C	 count_tweets_in_C	 count_H_entire_dataset	 count_tweets_entire_dataset
10commandments	 1495800014576451586	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
2022election	 1509016490896683008	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
4corners	 1493176737907507200	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
500kwithnatouch	 1518101032009486336	 5.78497790868924891961	 .00294550810014727540	 .00050916496945010183	 2	 679	 2	 3928
609bedtimestory	 1496883895228583939	 4.33873343151693668971	 .00441826215022091310	 .00101832993890020366	 3	 679	 4	 3928
60mins	 1492993804261269506	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
60minutes	 1492993804261269506	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
abc730	 1479952635289473025	 .96416298478154148660	 .00147275405007363770	 .00152749490835030549	 1	 679	 6	 3928
abcbias	 1515840452863270916	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
abed	 1491273304652791808	 1.92832596956308298582	 .00147275405007363770	 .00076374745417515274	 1	 679	 3	 3928
ableg	 1516945309603033088	 3.18173784977908689721	 .01620029455081001472	 .00509164969450101832	 11	 679	 20	 3928
ableism	 1494129498379460615	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
abpoli	 1508875083594407936	 1.57772124782434060598	 .00441826215022091310	 .00280040733197556008	 3	 679	 11	 3928
abusiveavi	 1494281251863236611	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
actu	 1481509193417129984	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
admiraltylaw	 1513578377235644416	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
ag	 1513144652689551373	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
agedcare	 1513630841028550658	 4.33873343151693668971	 .00441826215022091310	 .00101832993890020366	 3	 679	 4	 3928
ago	 1504754753347244038	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
alberta	 1504899668546707458	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
albo4pm	 1520408831880179713	 2.89248895434462445980	 .00441826215022091310	 .00152749490835030549	 3	 679	 6	 3928
alboforpm	 1518017146529652737	 1.84626954532635603065	 .02209131075110456553	 .01196537678207739307	 15	 679	 47	 3928
alexhawke	 1499683752938643461	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
alp	 1513378021545476098	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
amazon	 1504895933774979079	 5.78497790868924891961	 .00294550810014727540	 .00050916496945010183	 2	 679	 2	 3928
anexprience	 1506297750731857921	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
angusgate	 1501061983273054208	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
annihilatelnp	 1512638255165935617	 4.33873343151693668971	 .00441826215022091310	 .00101832993890020366	 3	 679	 4	 3928
