hashtag_H                                  cluster_C_leader_user_id  relative_frequency_H_C  frequency_H_in_C       frequency_H_overall    count_H_in_C  count_tweets_in_C  count_H_entire_dataset  count_tweets_entire_dataset
10commandments                             1495800014576451586       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
2022election                               1509016490896683008       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
4corners                                   1493176737907507200       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
500kwithnatouch                            1518101032009486336       3.57090909090909092651  .00181818181818181818  .00050916496945010183  2             1100               2                       3928
609bedtimestory                            1496883895228583939       2.67818181818181819488  .00272727272727272727  .00101832993890020366  3             1100               4                       3928
60mins                                     1492993804261269506       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
60minutes                                  1492993804261269506       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
abc730                                     1479952635289473025       .59515151515151515441   .00090909090909090909  .00152749490835030549  1             1100               6                       3928
abcbias                                    1515840452863270916       1.78545454545454546325  .00090909090909090909  .00050916496945010183  1             1100               2                       3928
abed                                       1491273304652791808       1.19030303030303031663  .00090909090909090909  .00076374745417515274  1             1100               3                       3928
ableg                                      1516945309603033088       1.96400000000000000383  .01000000000000000000  .00509164969450101832  11            1100               20                      3928
ableism                                    1494129498379460615       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
abpoli                                     1508875083594407936       .97388429752066115656   .00272727272727272727  .00280040733197556008  3             1100               11                      3928
abusiveavi                                 1494281251863236611       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
actu                                       1481509193417129984       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
admiraltylaw                               1513578377235644416       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
ag                                         1513144652689551373       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
agedcare                                   1513630841028550658       2.67818181818181819488  .00272727272727272727  .00101832993890020366  3             1100               4                       3928
ago                                        1504754753347244038       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
alberta                                    1504899668546707458       1.78545454545454546325  .00090909090909090909  .00050916496945010183  1             1100               2                       3928
albo4pm                                    1520408831880179713       1.78545454545454546325  .00272727272727272727  .00152749490835030549  3             1100               6                       3928
alboforpm                                  1518017146529652737       1.13965183752417794991  .01363636363636363636  .01196537678207739307  15            1100               47                      3928
