hashtag_H, cluster_C_leader_user_id, relative_frequency_H_C, frequency_H_in_C, frequency_H_overall, count_H_in_C, count_tweets_in_C, count_H_entire_dataset, count_tweets_entire_dataset
텐, 1261203450022359043, 1.32695797629755878908, .00018936704066657198, .00014270763961564075, 8, 42246, 9, 63066
마크, 1264114113925402624, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
가장완벽한숫자_텐_생일축하해, 1261203450022359043, 1.11962079250106526732, .00007101264024996449, .00006342561760695144, 3, 42246, 4, 63066
101wildlifecrossing, 2530758806, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
10ball, 1060440219097423872, 1.49282772333475358530, .00016569616058325048, .00011099483081216503, 7, 42246, 7, 63066
10commandments, 1387010761994682371, .99521848222316905644, .00004734176016664299, .00004756921320521358, 2, 42246, 3, 63066
10generals, 59028892, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
10velyday_with_ten, 1261203450022359043, .49760924111158442311, .00002367088008332149, .00004756921320521358, 1, 42246, 3, 63066
10worstzoos, 2530758806, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
10เมษา53, 1264114113925402624, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
12th, 1264114113925402624, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
13districtstrong, 2530758806, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
1619project, 45379403, 1.30622425791790940185, .00016569616058325048, .00012685123521390289, 7, 42246, 8, 63066
1922committee, 828578052942741505, 1.49282772333475368977, .00007101264024996449, .00004756921320521358, 3, 42246, 3, 63066
1a, 614600545, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
1b, 614600545, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
1m700kloveuป๋าฟลุ้ค, 177400353, .63978331000060866654, .00014202528049992898, .00022198966162433006, 6, 42246, 14, 63066
1m700ksayloveohm, 177400353, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
1sttractorarmordivision, 870244616003403781, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
22valentineohmfluke, 177400353, 1.02631905979264306663, .00026037968091653647, .00025370247042780579, 11, 42246, 16, 63066
2ndohmylove, 177400353, 1.24402310277896124234, .00011835440041660748, .00009513842641042717, 5, 42246, 6, 63066
2shortplanks, 631283641, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
30dayohmflukechallenge, 177400353, 1.05741963736211711567, .00080480992283293092, .00076110741128341737, 34, 42246, 48, 63066
360wise, 29447428, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
3dartfinish, 1387010761994682371, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
40days, 940778288871542786, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
420day, 614600545, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
4fights, 77726331, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
500kwithnatouch, 177400353, 1.11962079250106526732, .00007101264024996449, .00006342561760695144, 3, 42246, 4, 63066
5thwave, 832019161454817280, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
609bedtimestory, 177400353, 1.29378402689011981173, .00030772144108317947, .00023784606602606792, 13, 42246, 15, 63066
609workshopday1, 177400353, 1.24402310277896124234, .00011835440041660748, .00009513842641042717, 5, 42246, 6, 63066
609workshopday2, 177400353, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
60mins, 2886667320, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
64days, 302984766, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
6thwave, 1475643712596168706, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
6yearswithnctu_ten, 1261203450022359043, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
70sweek, 981436419087523840, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
72days, 302984766, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
72seasons, 2332033299, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
777thealbum, 1471037967926018051, 1.24402310277896124234, .00011835440041660748, .00009513842641042717, 5, 42246, 6, 63066
80s, 3453306553, .49760924111158442311, .00002367088008332149, .00004756921320521358, 1, 42246, 3, 63066
85degreewest, 1471037967926018051, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
8ball, 1060440219097423872, 1.49282772333475358530, .00016569616058325048, .00011099483081216503, 7, 42246, 7, 63066
8nn, 1060440219097423872, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
9ball, 1060440219097423872, 1.49282772333475364772, .00011835440041660748, .00007928202200868930, 5, 42246, 5, 63066
a059004, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a1657479, 17531651, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
a2313610, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a514818, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5392798, 17531651, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5434486, 17531651, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a543465, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5444594, 17531651, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5444751, 17531651, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5454176, 17531651, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5454653, 17531651, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5457018, 17531651, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
