hashtag_H	 cluster_C_leader_user_id	 relative_frequency_H_C	 frequency_H_in_C	 frequency_H_overall	 count_H_in_C	 count_tweets_in_C	 count_H_entire_dataset	 count_tweets_entire_dataset
텐	 1261203450022359043	 1.51468877254217567937	 .00130890052356020942	 .00086413826212193951	 8	 6112	 9	 10415
마크	 1264114113925402624	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
가장완벽한숫자_텐_생일축하해	 1261203450022359043	 1.27801865183246074145	 .00049083769633507853	 .00038406144983197311	 3	 6112	 4	 10415
101wildlifecrossing	 2530758806	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
10ball	 1060440219097423872	 1.70402486910994764121	 .00114528795811518324	 .00067210753720595295	 7	 6112	 7	 10415
10commandments	 1387010761994682371	 1.13601657940663176846	 .00032722513089005235	 .00028804608737397983	 2	 6112	 3	 10415
10generals	 59028892	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
10velyday_with_ten	 1261203450022359043	 .56800828970331586687	 .00016361256544502617	 .00028804608737397983	 1	 6112	 3	 10415
10worstzoos	 2530758806	 1.70402486910994768227	 .00032722513089005235	 .00019203072491598655	 2	 6112	 2	 10415
10เมษา53	 1264114113925402624	 .85201243455497381510	 .00016361256544502617	 .00019203072491598655	 1	 6112	 2	 10415
12th	 1264114113925402624	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
13districtstrong	 2530758806	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
1619project	 45379403	 1.49102176047120418328	 .00114528795811518324	 .00076812289966394623	 7	 6112	 8	 10415
1922committee	 828578052942741505	 1.70402486910994767005	 .00049083769633507853	 .00028804608737397983	 3	 6112	 3	 10415
1a	 614600545	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
1b	 614600545	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
1m700kloveuป๋าฟลุ้ค	 177400353	 .73029637247569184410	 .00098167539267015706	 .00134421507441190590	 6	 6112	 14	 10415
1m700ksayloveohm	 177400353	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
1sttractorarmordivision	 870244616003403781	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
22valentineohmfluke	 177400353	 1.17151709751308900208	 .00179973821989528795	 .00153624579932789246	 11	 6112	 16	 10415
2ndohmylove	 177400353	 1.42002072425828971196	 .00081806282722513089	 .00057609217474795967	 5	 6112	 6	 10415
2shortplanks	 631283641	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
30dayohmflukechallenge	 177400353	 1.20701761561954624950	 .00556282722513089005	 .00460873739798367738	 34	 6112	 48	 10415
360wise	 29447428	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
